Titulo;Empresa;Formato;Link;Nivel
Engenheiro de Dados Sênior;BIP Brasil;Remoto;https://vemprabip.gupy.io/job/eyJqb2JJZCI6MTA5MDY3MzcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de Dados Júnior - Help Franchising;Banco Bmg;Híbrido;https://bmg.gupy.io/job/eyJqb2JJZCI6MTA2NjI3MjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Controle de Dados III;Saque e Pague;Presencial;https://saqueepague.gupy.io/job/eyJqb2JJZCI6MTA5MTM0NTAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Cientista de dados (Foco em gestão do conhecimento);Embraer;Presencial;https://embraer.gupy.io/job/eyJqb2JJZCI6MTA5MTMzMDgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Gerente de Dados;Valid;Híbrido;https://validcarreiras-tecnologia.gupy.io/job/eyJqb2JJZCI6MTA5MTE1MjQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ENGENHEIRO DE DADOS SR;Flamengo;Presencial;https://flamengo.gupy.io/job/eyJqb2JJZCI6MTA2NTc3NzEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de Dados Sênior  ;SoftDesign;Remoto;https://softdesign.gupy.io/job/eyJqb2JJZCI6MTA5MTE1NDQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de Testes SR (QA) - Foco em Dados;Gauge;Híbrido;https://gaugecarreiras.gupy.io/job/eyJqb2JJZCI6MTA5MTE4MDIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Gerente de Análise de Dados ;Afya ;Híbrido;https://afya.gupy.io/job/eyJqb2JJZCI6MTA5MDk5NzEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados Senior - AMD GSC (Automotive Global Support Centre);ipsosbrasil;Híbrido;https://ipsosbrasil.gupy.io/job/eyJqb2JJZCI6MTA5MDk0MzUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
CAS | Analista de Dados PL - Compliance e Controles Internos ;Sicredi;Híbrido;https://sicredi.gupy.io/job/eyJqb2JJZCI6MTA3OTA3MDUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
ESPECIALISTA DE DADOS;Qualicorp;Remoto;https://carreirasquali.gupy.io/job/eyJqb2JJZCI6MTA3MDU4MDksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ANALISTA DE DADOS PARA SOLUÇÕES PREVENTIVAS - JÚNIOR | BELO HORIZONTE/MG ;Localiza&Co;Híbrido;https://localiza.gupy.io/job/eyJqb2JJZCI6MTA3ODkxNDQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Especialista Adm Banco de Dados ;Vem Pra Vivo;Híbrido;https://vivo.gupy.io/job/eyJqb2JJZCI6MTA5MDEyMTUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
 Analista de Dados Junior;Minsait an Indra Company;Híbrido;https://minsait.gupy.io/job/eyJqb2JJZCI6MTA4ODYyMzYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Júnior
Analista de Dados;Gertec Brasil;Presencial;https://gertec.gupy.io/job/eyJqb2JJZCI6MTA3NTUwNTAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ESPECIALISTA DE ENGENHARIA DE DADOS I - Híbrido;Vagas Inmetrics;Híbrido;https://inmetrics.gupy.io/job/eyJqb2JJZCI6MTA5MDY0NTksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
0102/2026 - Analista de Dados e Produção SR (GERÊNCIA DE ESTRATÉGIA E DESEMPENHO - CUIABÁ/MT);Sistema Fiemt | Fiemt, Sesi MT, Senai MT e IEL MT;Presencial;https://sistemafiemt.gupy.io/job/eyJqb2JJZCI6MTA4NzgwMDIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de Ciencia de Dados Senior lll ;Ingram Micro;Híbrido;https://brlink.gupy.io/job/eyJqb2JJZCI6MTA5MDgwODYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Engenheiro de Dados SR (Analytics Engineer);UOL EdTech;Híbrido;https://uoledtech.gupy.io/job/eyJqb2JJZCI6MTA4NTU3MDYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Cientista de Dados Pleno (Prevenção a Fraudes);Bemobi;Remoto;https://bemobi.gupy.io/job/eyJqb2JJZCI6MTA4ODMyNjIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Cientista de Dados Pleno com foco em Risco de Crédito ;BIP Brasil;Remoto;https://vemprabip.gupy.io/job/eyJqb2JJZCI6MTA5MDQxNjIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Cientista de Dados Sênior com foco em Risco de Crédito ;BIP Brasil;Remoto;https://vemprabip.gupy.io/job/eyJqb2JJZCI6MTA5MDQyMDAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Estagiário de Dados Leiria;Hospital de Olhos Leiria de Andrade;Presencial;https://leiriadeandrade.gupy.io/job/eyJqb2JJZCI6MTA5MDU3NzUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados Junior - Segmento de Call Center;Home Agent;Remoto;https://homeagent.gupy.io/job/eyJqb2JJZCI6MTA4NDUyNjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Júnior
CIENTISTA DE DADOS JUNIOR;Mundiale;Híbrido;https://mundiale.gupy.io/job/eyJqb2JJZCI6MTA5MDUxMjUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Júnior
PESSOA ENGENHEIRA DE DADOS SR;Cogna Educação;Remoto;https://cogna.gupy.io/job/eyJqb2JJZCI6MTA4Nzg1ODMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Vagas Interna e Externa - Analista de BI  e  Assistente de Dados e BI - Sede Administrativa - Medianeira/PR  ;Sicredi;Presencial;https://sicredi.gupy.io/job/eyJqb2JJZCI6MTA5MDQwNDYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de dados JR - ESG - afirmativa para pessoas com deficiência;Quem somos;Híbrido;https://abcbrasil.gupy.io/job/eyJqb2JJZCI6MTA4OTUxNjQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Júnior
AZZAS 2154 / GRUPO SOMA | Assistente de Dados | Contábil | Exclusivo para Pessoas com Deficiência ;AZZAS 2154 / GRUPO SOMA;Híbrido;https://gruposoma.gupy.io/job/eyJqb2JJZCI6MTA5MDM4NDksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados - Sicredi das Culturas RS/MG - Sede Ijuí/RS;Sicredi;Presencial;https://sicredi.gupy.io/job/eyJqb2JJZCI6MTA5MDI3NjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Arquiteto(a) de Dados e Infraestrutura de TI;7LM;Híbrido;https://vemser7lm.gupy.io/job/eyJqb2JJZCI6MTA5MDI2NTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Aprendiz Tecnologia Operacional de Dados;Ajinomoto do Brasil;Presencial;https://ajinomotoabr.gupy.io/job/eyJqb2JJZCI6MTA4MjUwMjIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Projeto Social Sênior (Foco em Banco de Dados) 🧡;Diagonal;Presencial;https://sejadiagonal.gupy.io/job/eyJqb2JJZCI6MTA5MDIyNjksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
 Arquiteto(a) de Dados - Consultor(a);Vivo Digital;Remoto;https://vivodigital.gupy.io/job/eyJqb2JJZCI6MTA4ODY2NzYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Engenheiro de Dados Sênior;Híbrido;Remoto;https://hibrido.gupy.io/job/eyJqb2JJZCI6MTA5MDIyMjIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de Dados ;Brisanet ;Remoto;https://brisanet.gupy.io/job/eyJqb2JJZCI6MTA4ODUyNzQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Cientista de Dados Sênior;Porto;Presencial;https://porto.gupy.io/job/eyJqb2JJZCI6MTA5MDAyMDcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de Dados Pleno/Sênior – Foco em Trade Marketing ;umauma;Presencial;https://umauma.gupy.io/job/eyJqb2JJZCI6MTA5MDA0MTcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Analista Comercial Senior (Dados);GRUPO MOAS ;Presencial;https://grupomoas.gupy.io/job/eyJqb2JJZCI6MTA4NzIxMDcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Cientista de Dados;OXXO Brasil | Grupo Nós ;Híbrido;https://oxxobrasil.gupy.io/job/eyJqb2JJZCI6MTA4NTA1NDcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Cientista de Dados Junior;RD Saúde;Remoto;https://rdsaude-corporativo.gupy.io/job/eyJqb2JJZCI6MTA4OTkzNzMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Júnior
Engenheiro de Dados PL / SR - Databricks;NCS;Híbrido;https://ncs.gupy.io/job/eyJqb2JJZCI6MTA4OTg2NjQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
ASSISTENTE DE PROCESSAMENTO DE DADOS- CAMPOS DOS GOYTACAZES;Barcelos;Presencial;https://barcelos.gupy.io/job/eyJqb2JJZCI6MTA4NzA5NjksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Coordenador(a) de Performance e Dados - CSC;V.tal | o futuro passa por aqui;Híbrido;https://vtal.gupy.io/job/eyJqb2JJZCI6MTA4MDE3OTIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados Pleno (Foco em Crédito);Corporativo Grupo Casas Bahia;Presencial;https://corporativogrupocasasbahia.gupy.io/job/eyJqb2JJZCI6MTA4OTcyNzYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
ANALISTA DE DADOS JUNIOR - GOIÂNIA/GO ;Grupo Piracanjuba;Presencial;https://piracanjuba.gupy.io/job/eyJqb2JJZCI6MTA4OTc5OTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Júnior
Especialista de Inteligência de Dados Pleno;Privalia;Presencial;https://privalia.gupy.io/job/eyJqb2JJZCI6MTA3OTQ5NzEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
